district,num_tickets,avg_star,avg_resolution_time,resolved_count,total_count,resolution_rate
คลองสาน,7525,3.944192688692083,590.0350969595257,6577,7525,87.40199335548174
คลองสามวา,13272,3.9526882105471244,638.7524482275476,11491,13272,86.58077154912598
คลองเตย,22795,3.8789795575822352,489.54849470392503,17803,22795,78.10046062733056
คันนายาว,7799,4.0038741342881625,431.74144722051176,6206,7799,79.57430439799974
จตุจักร,32455,3.973379346608203,647.0659407685343,25572,32455,78.79217377907872
จอมทอง,10333,3.9786010896527384,458.9973284529148,8126,10333,78.64124649182232
ดอนเมือง,10354,3.874073377491358,509.3151083411145,8383,10354,80.96387869422446
ดินแดง,16215,3.896127218824786,617.7330031640548,12525,16215,77.24329324699353
ดุสิต,7997,4.026866004307537,499.1419505580701,6516,7997,81.48055520820307
ตลิ่งชัน,11714,3.9526511112585014,468.12682834115435,8974,11714,76.60918558989243
ทวีวัฒนา,7223,3.9617656775542125,497.12253427790193,6122,7223,84.75702616641286
ทุ่งครุ,8022,3.9788358169325027,368.8810712513278,7219,8022,89.9900274245824
ธนบุรี,14297,3.9199815718320727,346.9022041672336,12418,14297,86.85738266769252
บางกอกน้อย,16024,3.938637028958985,529.6303166030482,13377,16024,83.48102845731404
บางกอกใหญ่,5776,3.9171681551655904,585.2577590467517,4781,5776,82.77354570637118
บางกะปิ,21470,3.9209897256257835,612.5566379444602,16773,21470,78.12296227293899
บางขุนเทียน,18240,3.9552816623756266,403.1188815383195,14271,18240,78.24013157894737
บางคอแหลม,10391,4.05020341420968,356.29442698477453,8850,10391,85.16985853142143
บางซื่อ,14703,3.9908772990996653,587.5228145443717,12561,14703,85.43154458273821
บางนา,12421,3.933261169390466,639.8412717460915,9582,12421,77.14354721842042
บางบอน,7683,3.9931495914465427,453.39998945352966,6416,7683,83.50904594559417
บางพลัด,12194,3.848254547540574,443.9027938531828,9019,12194,73.96260455961948
บางรัก,10698,3.870948188127423,917.3575577995551,7883,10698,73.6866704056833
บางเขน,19787,3.9784191131993727,413.777302524944,17272,19787,87.2896346085814
บางแค,21396,4.04548051366403,356.02515737475414,18548,21396,86.6891007664984
บึงกุ่ม,15619,3.9694993567418395,494.0693576246048,13688,15619,87.63685255137973
ปทุมวัน,19822,3.768965189639333,574.3443338380094,14961,19822,75.47674301281404
ประเวศ,23823,3.9143246668985237,544.3781470409176,20394,23823,85.60634680770683
ป้อมปราบศัตรูพ่าย,10770,3.9001173991744618,564.9772392077746,9030,10770,83.84401114206128
พญาไท,12867,3.885298451298251,682.8965892377297,10124,12867,78.68189943265719
พระนคร,16124,3.9733722322705285,434.6238780644076,13639,16124,84.58819151575292
พระโขนง,10633,3.9540824474255776,545.378623737455,8642,10633,81.27527508699333
ภาษีเจริญ,12232,4.019864384094373,381.95975757283856,10266,12232,83.92740353172007
มีนบุรี,11732,3.9535734770043955,606.0745626105705,10043,11732,85.6034776679168
ยานนาวา,10922,3.9549215083452656,536.7885870581215,8816,10922,80.71781724958798
ราชเทวี,16858,3.889864409888951,609.5175908257339,13258,16858,78.64515363625578
ราษฎร์บูรณะ,6515,3.9552890344077842,314.5909813871687,5383,6515,82.62471220260936
ลาดกระบัง,13657,3.8983159338420506,776.4860971842799,11209,13657,82.0751263088526
ลาดพร้าว,14360,4.0126609494736485,418.5057130956357,12371,14360,86.14902506963789
วังทองหลาง,13364,3.941227380096763,568.0367944179764,11577,13364,86.62825501346903
วัฒนา,22407,3.8637099847515035,628.0391635306697,17997,22407,80.31865042174321
สวนหลวง,13831,3.9401549594620326,773.1974239943885,9806,13831,70.89870580579857
สะพานสูง,9716,3.890095224818488,726.43768536619,8354,9716,85.98188554960889
สัมพันธวงศ์,4616,3.8959749390982887,316.0220196858024,3927,4616,85.0736568457539
สาทร,14868,3.9215026306169976,370.47679023372325,12613,14868,84.83319881624966
สายไหม,11934,3.9752189785390755,470.861211643856,10714,11934,89.77710742416625
หนองจอก,12183,4.009271446610015,644.9894605831388,10007,12183,82.13904621193467
หนองแขม,9725,3.9494378044499516,353.7648792330675,8918,9725,91.70179948586117
หลักสี่,11954,3.9509802651554673,584.6403873367287,10151,11954,84.91718253304333
ห้วยขวาง,13953,3.95681158831803,660.0909167557983,9649,13953,69.15358704221315
